function|id|time|cpu_percent|mem_percent|node
mapper|0_0|80.5|96.2|0.591238839060135|wn3.localdomain
mapper|0_0|81.0|95.0|0.591238839060135|wn3.localdomain
mapper|0_0|81.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|82.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|82.5|98.3|0.591238839060135|wn3.localdomain
mapper|0_0|83.0|94.3|0.591238839060135|wn3.localdomain
mapper|0_0|83.5|96.4|0.591238839060135|wn3.localdomain
mapper|0_0|84.0|98.2|0.591238839060135|wn3.localdomain
mapper|0_0|84.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|85.0|96.2|0.591238839060135|wn3.localdomain
mapper|0_0|85.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|86.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|86.5|95.8|0.591238839060135|wn3.localdomain
mapper|0_0|87.0|96.2|0.591238839060135|wn3.localdomain
mapper|0_0|87.5|95.8|0.591238839060135|wn3.localdomain
mapper|0_0|88.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|88.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|89.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|89.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|90.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|90.5|96.7|0.591238839060135|wn3.localdomain
mapper|0_0|91.0|96.7|0.591238839060135|wn3.localdomain
mapper|0_0|91.5|96.6|0.591238839060135|wn3.localdomain
mapper|0_0|92.0|96.7|0.591238839060135|wn3.localdomain
mapper|0_0|92.5|98.7|0.591238839060135|wn3.localdomain
mapper|0_0|93.0|94.8|0.591238839060135|wn3.localdomain
mapper|0_0|93.5|96.6|0.591238839060135|wn3.localdomain
mapper|0_0|94.0|98.7|0.591238839060135|wn3.localdomain
mapper|0_0|94.5|94.7|0.591238839060135|wn3.localdomain
mapper|0_0|95.0|98.7|0.591238839060135|wn3.localdomain
mapper|0_0|95.5|96.7|0.591238839060135|wn3.localdomain
mapper|0_0|96.0|96.7|0.591238839060135|wn3.localdomain
mapper|0_0|96.5|96.6|0.591238839060135|wn3.localdomain
mapper|0_0|97.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|97.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|98.0|94.8|0.591238839060135|wn3.localdomain
mapper|0_0|98.5|96.8|0.591238839060135|wn3.localdomain
mapper|0_0|99.0|96.7|0.591238839060135|wn3.localdomain
mapper|0_0|99.5|96.7|0.591238839060135|wn3.localdomain
mapper|0_0|100.0|96.7|0.591238839060135|wn3.localdomain
mapper|0_0|100.5|96.7|0.591238839060135|wn3.localdomain
mapper|0_0|101.0|96.7|0.591238839060135|wn3.localdomain
mapper|0_0|101.5|96.7|0.591238839060135|wn3.localdomain
mapper|0_0|102.0|98.2|0.591238839060135|wn3.localdomain
mapper|0_0|102.5|94.4|0.591238839060135|wn3.localdomain
mapper|0_0|103.0|97.8|0.591238839060135|wn3.localdomain
mapper|0_0|103.5|94.7|0.591238839060135|wn3.localdomain
mapper|0_0|104.0|97.1|0.591238839060135|wn3.localdomain
mapper|0_0|104.5|98.6|0.591238839060135|wn3.localdomain
mapper|0_0|105.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|105.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|106.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|106.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|107.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|107.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|108.0|96.0|0.591238839060135|wn3.localdomain
mapper|0_0|108.5|95.9|0.591238839060135|wn3.localdomain
mapper|0_0|109.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|109.5|95.8|0.591238839060135|wn3.localdomain
mapper|0_0|110.0|96.0|0.591238839060135|wn3.localdomain
mapper|0_0|110.5|96.0|0.591238839060135|wn3.localdomain
mapper|0_0|111.0|95.9|0.591238839060135|wn3.localdomain
mapper|0_0|111.5|96.0|0.591238839060135|wn3.localdomain
mapper|0_0|112.0|97.9|0.591238839060135|wn3.localdomain
mapper|0_0|112.5|94.0|0.591238839060135|wn3.localdomain
mapper|0_0|113.0|98.0|0.591238839060135|wn3.localdomain
mapper|0_0|113.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|114.0|96.2|0.591238839060135|wn3.localdomain
mapper|0_0|114.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|115.0|94.3|0.591238839060135|wn3.localdomain
mapper|0_0|115.5|98.0|0.591238839060135|wn3.localdomain
mapper|0_0|116.0|96.0|0.591238839060135|wn3.localdomain
mapper|0_0|116.5|96.0|0.591238839060135|wn3.localdomain
mapper|0_0|117.0|96.0|0.591238839060135|wn3.localdomain
mapper|0_0|117.5|96.0|0.591238839060135|wn3.localdomain
mapper|0_0|118.0|98.0|0.591238839060135|wn3.localdomain
mapper|0_0|118.5|94.0|0.591238839060135|wn3.localdomain
mapper|0_0|119.0|98.1|0.591238839060135|wn3.localdomain
mapper|0_0|119.5|94.1|0.591238839060135|wn3.localdomain
mapper|0_0|120.0|96.0|0.591238839060135|wn3.localdomain
mapper|0_0|120.5|96.0|0.591238839060135|wn3.localdomain
mapper|0_0|121.0|96.0|0.591238839060135|wn3.localdomain
mapper|0_0|121.5|96.0|0.591238839060135|wn3.localdomain
mapper|0_0|122.0|98.3|0.591238839060135|wn3.localdomain
mapper|0_0|122.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|123.0|94.3|0.591238839060135|wn3.localdomain
mapper|0_0|123.5|96.0|0.591238839060135|wn3.localdomain
mapper|0_0|124.0|95.9|0.591238839060135|wn3.localdomain
mapper|0_0|124.5|96.0|0.591238839060135|wn3.localdomain
mapper|0_0|125.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|125.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|126.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|126.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|127.0|98.2|0.591238839060135|wn3.localdomain
mapper|0_0|127.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|128.0|96.9|0.591238839060135|wn3.localdomain
mapper|0_0|128.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|129.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|129.5|94.2|0.591238839060135|wn3.localdomain
mapper|0_0|130.0|96.1|0.591238839060135|wn3.localdomain
mapper|0_0|130.5|98.2|0.591238839060135|wn3.localdomain
mapper|0_0|131.0|96.2|0.591238839060135|wn3.localdomain
mapper|0_0|131.5|96.2|0.591238839060135|wn3.localdomain
mapper|0_0|132.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|132.5|96.4|0.591238839060135|wn3.localdomain
mapper|0_0|133.0|96.9|0.591238839060135|wn3.localdomain
mapper|0_0|133.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|134.0|96.0|0.591238839060135|wn3.localdomain
mapper|0_0|134.5|96.0|0.591238839060135|wn3.localdomain
mapper|0_0|135.0|96.0|0.591238839060135|wn3.localdomain
mapper|0_0|135.5|96.0|0.591238839060135|wn3.localdomain
mapper|0_0|136.0|96.1|0.591238839060135|wn3.localdomain
mapper|0_0|136.5|96.0|0.591238839060135|wn3.localdomain
mapper|0_0|137.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|137.5|96.2|0.591238839060135|wn3.localdomain
mapper|0_0|138.0|95.7|0.591238839060135|wn3.localdomain
mapper|0_0|138.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|139.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|139.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|140.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|140.5|98.2|0.591238839060135|wn3.localdomain
mapper|0_0|141.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|141.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|142.0|96.1|0.591238839060135|wn3.localdomain
mapper|0_0|142.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|143.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|143.5|95.7|0.591238839060135|wn3.localdomain
mapper|0_0|144.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|144.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|145.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|145.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|146.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|146.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|147.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|147.5|98.3|0.591238839060135|wn3.localdomain
mapper|0_0|148.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|148.5|94.4|0.591238839060135|wn3.localdomain
mapper|0_0|149.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|149.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|150.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|150.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|151.0|97.1|0.591238839060135|wn3.localdomain
mapper|0_0|151.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|152.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|152.5|98.3|0.591238839060135|wn3.localdomain
mapper|0_0|153.0|96.2|0.591238839060135|wn3.localdomain
mapper|0_0|153.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|154.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|154.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|155.0|95.7|0.591238839060135|wn3.localdomain
mapper|0_0|155.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|156.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|156.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|157.0|96.3|0.591238839060135|wn3.localdomain
